Abstract Loop,keyMode,triadMode,formMode,beatMode,Loop Total,Loop Total Songs,Loop Song IDs,Loop ProgIDs,Loop Forms,Abstract Lick,Lick Total,Lick Total Songs,Lick Song IDs,Lick Forms,Lick Length
2maj_2min_10maj_10maj_,False,7,True,False,21,4, 1171 1282 33 633, 40, c,.maj_2.maj_2.min_10.maj_10.maj,21,4, 1171 1282 33 633, c,5
27_10maj7_7maj_7maj_10maj_7maj_9min7_8maj7_,False,7,True,False,12,1, 705, 95, c,.maj_7.maj_9.min7_8.maj7_2.7_10.maj7_7.maj_7.maj,12,1, 705, c,8
2min_10maj_,False,7,True,False,129,17, 1073 1173 217 294 320 481 51 542 608 62 629 749 797 812 932 945 947, 54 150 193 203, c v,.maj_2.min_10.maj_2.min_10.maj_2.min_10.maj,31,5, 1073 481 62 629 812, v,7
2min_10maj_,False,7,True,False,129,17, 1073 1173 217 294 320 481 51 542 608 62 629 749 797 812 932 945 947, 54 150 193 203, c v,.min_10.maj_2.min_10.maj_2.min_10.maj,2,1, 749, v,6
2min_10maj_,False,7,True,False,129,17, 1073 1173 217 294 320 481 51 542 608 62 629 749 797 812 932 945 947, 54 150 193 203, c v,.maj_2.min_10.maj_2.min_10.maj,69,9, 294 320 51 542 608 797 932 945 947, c,5
2min_10maj_,False,7,True,False,129,17, 1073 1173 217 294 320 481 51 542 608 62 629 749 797 812 932 945 947, 54 150 193 203, c v,.min_10.maj_2.min_10.maj,27,11, 1173 217 320 51 542 608 629 797 812 945 947, c,4
0maj_10maj_7maj_7sus_,False,7,True,False,21,3, 1085 512 803, 220, c,.sus_0.maj_10.maj_7.maj,21,3, 1085 512 803, c,4
2maj_7maj_3maj_,False,7,True,False,18,3, 1062 414 699, 32 60, c,.maj_3.maj_2.maj_7.maj_3.maj_2.maj,18,3, 1062 414 699, c,6
5nc_7nc_,False,7,True,False,24,3, 1106 594 777, 216, c,.nc_5.nc_7.nc_5.nc,24,3, 1106 594 777, c,4
0maj_7maj_5sus_,False,7,True,False,45,6, 100 1126 354 372 540 752, 82, c,.maj_5.sus_0.maj,45,6, 100 1126 354 372 540 752, c,3
2min7_5min7_5min7_,False,7,True,False,19,2, 1056 631, 208, c,.min7_2.min7_5.min7_5.min7,19,2, 1056 631, c,4
