Abstract Loop,keyMode,triadMode,formMode,beatMode,Loop Total,Loop Total Songs,Loop Song IDs,Loop ProgIDs,Loop Forms,Abstract Lick,Lick Total,Lick Total Songs,Lick Song IDs,Lick Forms,Lick Length
2maj_2min_10maj_10maj_,False,0,True,False,46,8, 184 227 478 51 524 629 633 889, 106 110, i l,.maj_2.min_10.maj_10.maj_2.maj,46,8, 184 227 478 51 524 629 633 889, i l,5
2min_10maj_,False,0,True,False,114,19, 1061 1073 1124 294 307 320 478 481 51 528 542 608 62 629 797 812 932 945 947, 41 156 157 158 159 236 252 253 254, c v,.maj_2.min_10.maj_2.min_10.maj_2.min_10.maj_2.min_10.maj_2.min_10.maj_2.min,12,3, 307 528 812, v,12
2min_10maj_,False,0,True,False,114,19, 1061 1073 1124 294 307 320 478 481 51 528 542 608 62 629 797 812 932 945 947, 41 156 157 158 159 236 252 253 254, c v,.maj_2.min_10.maj_2.min_10.maj_2.min_10.maj_2.min_10.maj_2.min,1,1, 481, v,10
2min_10maj_,False,0,True,False,114,19, 1061 1073 1124 294 307 320 478 481 51 528 542 608 62 629 797 812 932 945 947, 41 156 157 158 159 236 252 253 254, c v,.min_10.maj_2.min_10.maj_2.min_10.maj_2.min_10.maj_2.min,6,1, 812, v,9
2min_10maj_,False,0,True,False,114,19, 1061 1073 1124 294 307 320 478 481 51 528 542 608 62 629 797 812 932 945 947, 41 156 157 158 159 236 252 253 254, c v,.maj_2.min_10.maj_2.min_10.maj_2.min_10.maj_2.min,2,1, 481, v,8
2min_10maj_,False,0,True,False,114,19, 1061 1073 1124 294 307 320 478 481 51 528 542 608 62 629 797 812 932 945 947, 41 156 157 158 159 236 252 253 254, c v,.min_10.maj_2.min_10.maj_2.min_10.maj_2.min,1,1, 528, v,7
2min_10maj_,False,0,True,False,114,19, 1061 1073 1124 294 307 320 478 481 51 528 542 608 62 629 797 812 932 945 947, 41 156 157 158 159 236 252 253 254, c v,.min_10.maj_2.min_10.maj_2.min_10.maj,54,8, 1124 294 51 542 608 629 797 945, c,6
2min_10maj_,False,0,True,False,114,19, 1061 1073 1124 294 307 320 478 481 51 528 542 608 62 629 797 812 932 945 947, 41 156 157 158 159 236 252 253 254, c v,.maj_2.min_10.maj_2.min_10.maj_2.min,8,4, 1061 1073 528 62, v,6
2min_10maj_,False,0,True,False,114,19, 1061 1073 1124 294 307 320 478 481 51 528 542 608 62 629 797 812 932 945 947, 41 156 157 158 159 236 252 253 254, c v,.maj_2.min_10.maj_2.min_10.maj,30,9, 320 478 481 51 542 608 932 945 947, c,5
0maj_5maj_5maj_2maj_5maj_5maj_2maj_5maj_5maj_2maj_,False,0,True,False,31,7, 1040 1045 324 385 477 66 791, 164, c,.maj_5.maj_5.maj_2.maj_5.maj_5.maj_2.maj_5.maj_5.maj_2.maj,31,7, 1040 1045 324 385 477 66 791, c,10
