Abstract Loop,keyMode,triadMode,formMode,beatMode,Loop Total,Loop Total Songs,Loop Song IDs,Loop ProgIDs,Loop Forms,Abstract Lick,Lick Total,Lick Total Songs,Lick Song IDs,Lick Forms,Lick Length
07_5maj_2maj_5maj_,False,7,False,True,18,9, 1040 199 235 280 290 355 443 587 601, 80, b c cb i lb lv uv v vb vc,.maj_2.maj_5.maj_0.7_5.maj,18,9, 1040 199 235 280 290 355 443 587 601, b c cb i lb lv uv v vb vc,5
2nc_2nc_8nc_,False,7,False,True,10,2, 352 913, 271 272, i v,.nc_8.nc_2.nc_2.nc_8.nc_2.nc,10,2, 352 913, i v,6
5maj_5maj_7maj_7sus_,False,7,False,True,18,1, 207, 113 204, c cu i iv l lc uv v vc,.maj_5.maj_7.maj_7.sus_5.maj,16,1, 207, c cu i iv l lc uv v vc,5
5maj_5maj_7maj_7sus_,False,7,False,True,18,1, 207, 113 204, c cu i iv l lc uv v vc,.maj_7.maj_7.sus_5.maj,2,1, 207, c cu i iv l lc uv v vc,4
5min_8maj_11maj_,False,7,False,True,13,1, 1053, 53, c cl l lo,.maj_11.maj_5.min,13,1, 1053, c cl l lo,3
7maj_7maj_107_,False,7,False,True,15,3, 322 518 943, 141, c cu d o v vc vt,.maj_7.maj_10.7_7.maj,15,3, 322 518 943, c cu d o v vc vt,4
2maj_7maj_3maj_,False,7,False,True,11,3, 1089 290 932, 93 132, b bc d i ic l o v,.maj_7.maj_3.maj_2.maj_7.maj_3.maj,11,3, 1089 290 932, b bc d ic l o v,6
7maj_7maj_10maj_,False,7,False,True,246,43, 1002 1032 1034 107 1086 1208 1240 1246 1249 1265 1276 130 150 162 206 209 268 271 300 317 389 39 406 50 545 555 589 645 655 67 675 690 71 74 75 762 810 821 852 886 889 946 991, 43 47 48 49 143 144 145 146 153 156 175 201 202 203 205, b c cd cl cv d i ic iv l ld lv o p s t tv u v vc,.maj_10.maj_7.maj_7.maj_10.maj_7.maj_7.maj_10.maj_7.maj_7.maj_10.maj_7.maj,21,5, 107 317 589 690 75, c cd d i l o v,12
7maj_7maj_10maj_,False,7,False,True,246,43, 1002 1032 1034 107 1086 1208 1240 1246 1249 1265 1276 130 150 162 206 209 268 271 300 317 389 39 406 50 545 555 589 645 655 67 675 690 71 74 75 762 810 821 852 886 889 946 991, 43 47 48 49 143 144 145 146 153 156 175 201 202 203 205, b c cd cl cv d i ic iv l ld lv o p s t tv u v vc,.maj_7.maj_10.maj_7.maj_7.maj_10.maj_7.maj_7.maj_10.maj_7.maj,2,2, 317 852, c cd d i l o v,10
7maj_7maj_10maj_,False,7,False,True,246,43, 1002 1032 1034 107 1086 1208 1240 1246 1249 1265 1276 130 150 162 206 209 268 271 300 317 389 39 406 50 545 555 589 645 655 67 675 690 71 74 75 762 810 821 852 886 889 946 991, 43 47 48 49 143 144 145 146 153 156 175 201 202 203 205, b c cd cl cv d i ic iv l ld lv o p s t tv u v vc,.maj_10.maj_7.maj_7.maj_10.maj_7.maj_7.maj_10.maj_7.maj,5,2, 107 852, c cd d i l o v,9
7maj_7maj_10maj_,False,7,False,True,246,43, 1002 1032 1034 107 1086 1208 1240 1246 1249 1265 1276 130 150 162 206 209 268 271 300 317 389 39 406 50 545 555 589 645 655 67 675 690 71 74 75 762 810 821 852 886 889 946 991, 43 47 48 49 143 144 145 146 153 156 175 201 202 203 205, b c cd cl cv d i ic iv l ld lv o p s t tv u v vc,.maj_7.maj_10.maj_7.maj_7.maj_10.maj_7.maj,49,14, 1002 1249 1265 162 209 271 389 50 545 555 67 675 810 946, b c cd cl cv d i ic iv l ld lv o s t v vc,7
7maj_7maj_10maj_,False,7,False,True,246,43, 1002 1032 1034 107 1086 1208 1240 1246 1249 1265 1276 130 150 162 206 209 268 271 300 317 389 39 406 50 545 555 589 645 655 67 675 690 71 74 75 762 810 821 852 886 889 946 991, 43 47 48 49 143 144 145 146 153 156 175 201 202 203 205, b c cd cl cv d i ic iv l ld lv o p s t tv u v vc,.maj_10.maj_7.maj_7.maj_10.maj_7.maj,40,11, 1002 1249 1265 271 389 406 589 675 690 71 810, b c cd cl cv d i ic iv l ld lv o s t u v vc,6
7maj_7maj_10maj_,False,7,False,True,246,43, 1002 1032 1034 107 1086 1208 1240 1246 1249 1265 1276 130 150 162 206 209 268 271 300 317 389 39 406 50 545 555 589 645 655 67 675 690 71 74 75 762 810 821 852 886 889 946 991, 43 47 48 49 143 144 145 146 153 156 175 201 202 203 205, b c cd cl cv d i ic iv l ld lv o p s t tv u v vc,.maj_7.maj_10.maj_7.maj_7.maj_10.maj,16,5, 130 150 300 645 821, b c d i o t v,6
7maj_7maj_10maj_,False,7,False,True,246,43, 1002 1032 1034 107 1086 1208 1240 1246 1249 1265 1276 130 150 162 206 209 268 271 300 317 389 39 406 50 545 555 589 645 655 67 675 690 71 74 75 762 810 821 852 886 889 946 991, 43 47 48 49 143 144 145 146 153 156 175 201 202 203 205, b c cd cl cv d i ic iv l ld lv o p s t tv u v vc,.maj_7.maj_7.maj_10.maj_7.maj,96,13, 1032 1034 1086 1240 1246 206 268 74 762 852 886 946 991, c cd d i ic l o p s t u v,5
7maj_7maj_10maj_,False,7,False,True,246,43, 1002 1032 1034 107 1086 1208 1240 1246 1249 1265 1276 130 150 162 206 209 268 271 300 317 389 39 406 50 545 555 589 645 655 67 675 690 71 74 75 762 810 821 852 886 889 946 991, 43 47 48 49 143 144 145 146 153 156 175 201 202 203 205, b c cd cl cv d i ic iv l ld lv o p s t tv u v vc,.maj_7.maj_10.maj_7.maj,17,8, 107 1208 1276 39 655 690 75 889, b c cd d i ic l o p s t tv u v,4
0min7_0min7_,False,7,False,True,27,2, 55 670, 256, i l t v,.min7_0.min7_0.min7_0.min7,27,2, 55 670, i l t v,4
5min7_10maj7_9min7_,False,7,False,True,14,4, 1161 193 49 804, 220, c p v,.maj7_9.min7_5.min7,14,4, 1161 193 49 804, c p v,3
5nc_7nc_,False,7,False,True,13,2, 53 594, 273 274, b c l,.nc_5.nc_7.nc_5.nc,13,2, 53 594, b c l,4
77_107_7maj_,False,7,False,True,21,5, 322 358 425 439 577, 19 131, c cd ct h l u vt,.7_7.maj_7.7_10.7_7.maj,16,4, 322 358 439 577, c cd ct h l u,5
77_107_7maj_,False,7,False,True,21,5, 322 358 425 439 577, 19 131, c cd ct h l u vt,.maj_7.7_10.7_7.maj,5,3, 322 358 425, c cd ct h l u vt,4
1maj_2maj_2min7_7min7_,False,7,False,True,5,1, 281, 74 88 257 264, c d o t,.min7_1.maj_2.maj_2.min7_7.min7_1.maj_2.maj_2.min7_7.min7_1.maj_2.maj_2.min7_7.min7_1.maj_2.maj,4,1, 281, c d o t,15
1maj_2maj_2min7_7min7_,False,7,False,True,5,1, 281, 74 88 257 264, c d o t,.min7_7.min7_1.maj_2.maj_2.min7_7.min7_1.maj_2.maj_2.min7_7.min7_1.maj_2.maj,1,1, 281, c d o t,12
5min_10maj_10maj_11maj_,False,7,False,True,18,2, 242 886, 52, c i l v,.maj_11.maj_5.min_10.maj,18,2, 242 886, c i l v,4
3maj_9min_,False,7,False,True,41,12, 112 1270 1286 228 250 310 404 415 543 549 617 920, 25 26 27 34 35 233 234 245, c co d i l o od p v,.maj_9.min_3.maj_9.min_3.maj_9.min_3.maj_9.min_3.maj_9.min_3.maj_9.min_3.maj_9.min,3,3, 112 1270 404, co d o v,14
3maj_9min_,False,7,False,True,41,12, 112 1270 1286 228 250 310 404 415 543 549 617 920, 25 26 27 34 35 233 234 245, c co d i l o od p v,.maj_9.min_3.maj_9.min_3.maj_9.min_3.maj_9.min_3.maj_9.min_3.maj_9.min,2,2, 549 617, c co d o v,12
3maj_9min_,False,7,False,True,41,12, 112 1270 1286 228 250 310 404 415 543 549 617 920, 25 26 27 34 35 233 234 245, c co d i l o od p v,.maj_9.min_3.maj_9.min_3.maj_9.min_3.maj_9.min_3.maj_9.min,3,2, 250 617, c co d o od v,10
3maj_9min_,False,7,False,True,41,12, 112 1270 1286 228 250 310 404 415 543 549 617 920, 25 26 27 34 35 233 234 245, c co d i l o od p v,.maj_9.min_3.maj_9.min_3.maj_9.min_3.maj_9.min,19,4, 228 310 543 920, c d i v,8
3maj_9min_,False,7,False,True,41,12, 112 1270 1286 228 250 310 404 415 543 549 617 920, 25 26 27 34 35 233 234 245, c co d i l o od p v,.maj_9.min_3.maj_9.min,14,5, 1286 228 310 415 543, c d i l p v,4
3maj_9min7_,False,7,False,True,9,1, 390, 39 270, c v,.maj_9.min7_3.maj_9.min7_3.maj,9,1, 390, c v,5
5min_7maj_,False,7,False,True,21,7, 104 1070 1087 1147 1182 343 798, 126 127 241 242, c d iv l o t v,.maj_5.min_7.maj_5.min_7.maj_5.min_7.maj_5.min,11,5, 104 1070 1087 343 798, d l o v,8
5min_7maj_,False,7,False,True,21,7, 104 1070 1087 1147 1182 343 798, 126 127 241 242, c d iv l o t v,.maj_5.min_7.maj_5.min_7.maj_5.min,6,3, 1070 1087 798, c d l o v,6
5min_7maj_,False,7,False,True,21,7, 104 1070 1087 1147 1182 343 798, 126 127 241 242, c d iv l o t v,.min_7.maj_5.min_7.maj_5.min,4,3, 1147 1182 343, c d iv l o t v,5
07_0maj_,False,7,False,True,16,8, 1040 149 244 382 418 841 935 943, 54, bc d i l o od v,.maj_0.7_0.maj_0.7,16,8, 1040 149 244 382 418 841 935 943, bc d i l o od v,4
5maj_7min_,False,7,False,True,19,4, 228 369 525 728, 237, b c d l sb v,.min_5.maj_7.min_5.maj,19,4, 228 369 525 728, b c d l sb v,4
2maj_10maj_7maj_5maj_,False,7,False,True,61,12, 1119 1171 238 246 256 268 29 310 339 366 807 83, 46 50 121 125 135 185 209, b c d i l o s t tb v,.maj_5.maj_2.maj_10.maj_7.maj_5.maj_2.maj_10.maj,19,3, 268 339 83, b c i o t,8
2maj_10maj_7maj_5maj_,False,7,False,True,61,12, 1119 1171 238 246 256 268 29 310 339 366 807 83, 46 50 121 125 135 185 209, b c d i l o s t tb v,.maj_7.maj_5.maj_2.maj_10.maj_7.maj_5.maj,23,6, 1119 238 256 29 310 807, c d i l o tb v,7
2maj_10maj_7maj_5maj_,False,7,False,True,61,12, 1119 1171 238 246 256 268 29 310 339 366 807 83, 46 50 121 125 135 185 209, b c d i l o s t tb v,.maj_10.maj_7.maj_5.maj_2.maj_10.maj,1,1, 268, b c i o t,6
2maj_10maj_7maj_5maj_,False,7,False,True,61,12, 1119 1171 238 246 256 268 29 310 339 366 807 83, 46 50 121 125 135 185 209, b c d i l o s t tb v,.maj_5.maj_2.maj_10.maj_7.maj_5.maj,14,3, 1171 246 366, b i s v,6
2maj_10maj_7maj_5maj_,False,7,False,True,61,12, 1119 1171 238 246 256 268 29 310 339 366 807 83, 46 50 121 125 135 185 209, b c d i l o s t tb v,.maj_10.maj_7.maj_5.maj,4,2, 1171 246, b i s v,4
5maj_5maj_7maj_77_5maj_77_,False,7,False,True,27,10, 1006 1054 1107 1116 1141 1194 167 570 787 993, 137, c l u v,.maj_7.maj_7.7_5.maj_7.7_5.maj,27,10, 1006 1054 1107 1116 1141 1194 167 570 787 993, c l u v,6
0maj_0maj_5maj_2maj_5maj_0maj_0maj_5maj_2maj_5maj_,False,7,False,True,8,1, 448, 56 111 118 165 167 168 177 188 191, c d o,.maj_5.maj_2.maj_5.maj_0.maj_0.maj_5.maj_2.maj_5.maj_0.maj_0.maj_5.maj_2.maj_5.maj_0.maj_0.maj_5.maj_2.maj_5.maj,8,1, 448, c d o,19
2maj_5maj_9min_8maj_,False,7,False,True,137,41, 1044 1063 1094 112 1142 1155 119 1210 1228 1248 1270 145 157 250 253 278 371 401 404 434 484 511 54 543 549 568 571 572 587 598 616 617 620 623 637 67 749 902 905 964 992, 32 33 38 196 197 226 243, b bc c cb cd cl cs ct cu cv d dv i ic iv l ld lv o od p s u v vc vd vt vu,.maj_5.maj_9.min_8.maj_2.maj_5.maj_9.min_8.maj_2.maj,12,2, 1094 749, c d o v,9
2maj_5maj_9min_8maj_,False,7,False,True,137,41, 1044 1063 1094 112 1142 1155 119 1210 1228 1248 1270 145 157 250 253 278 371 401 404 434 484 511 54 543 549 568 571 572 587 598 616 617 620 623 637 67 749 902 905 964 992, 32 33 38 196 197 226 243, b bc c cb cd cl cs ct cu cv d dv i ic iv l ld lv o od p s u v vc vd vt vu,.maj_5.maj_9.min_8.maj_2.maj_5.maj,6,4, 1094 1248 484 67, b c d i ic o od v vc,6
2maj_5maj_9min_8maj_,False,7,False,True,137,41, 1044 1063 1094 112 1142 1155 119 1210 1228 1248 1270 145 157 250 253 278 371 401 404 434 484 511 54 543 549 568 571 572 587 598 616 617 620 623 637 67 749 902 905 964 992, 32 33 38 196 197 226 243, b bc c cb cd cl cs ct cu cv d dv i ic iv l ld lv o od p s u v vc vd vt vu,.maj_9.min_8.maj_2.maj_5.maj,98,34, 1063 1094 112 1142 1155 119 1210 1228 1270 145 157 250 253 278 371 401 404 434 511 54 543 549 568 571 587 598 616 617 620 623 749 905 964 992, b bc c cb cd cl cs ct cu cv d dv i ic iv l ld lv o od p u v vc vd vt vu,5
2maj_5maj_9min_8maj_,False,7,False,True,137,41, 1044 1063 1094 112 1142 1155 119 1210 1228 1248 1270 145 157 250 253 278 371 401 404 434 484 511 54 543 549 568 571 572 587 598 616 617 620 623 637 67 749 902 905 964 992, 32 33 38 196 197 226 243, b bc c cb cd cl cs ct cu cv d dv i ic iv l ld lv o od p s u v vc vd vt vu,.maj_9.min_8.maj_2.maj,13,2, 572 992, c d s v,4
2maj_5maj_9min_8maj_,False,7,False,True,137,41, 1044 1063 1094 112 1142 1155 119 1210 1228 1248 1270 145 157 250 253 278 371 401 404 434 484 511 54 543 549 568 571 572 587 598 616 617 620 623 637 67 749 902 905 964 992, 32 33 38 196 197 226 243, b bc c cb cd cl cs ct cu cv d dv i ic iv l ld lv o od p s u v vc vd vt vu,.min_8.maj_2.maj_5.maj,8,3, 1044 637 902, b c d i ic o od v vc vu,4
5maj_7maj_5maj_7maj_5maj_7maj_,False,7,False,True,27,1, 995, 147, c i o p u v,.maj_7.maj_5.maj_7.maj_5.maj_7.maj,27,1, 995, c i o p u v,6
