Abstract Loop,keyMode,triadMode,formMode,beatMode,Loop Total,Loop Total Songs,Loop Song IDs,Loop ProgIDs,Loop Forms,Abstract Lick,Lick Total,Lick Total Songs,Lick Song IDs,Lick Forms,Lick Length
07_5maj_2maj_5maj_,False,1,False,False,24,14, 1040 199 224 235 250 280 290 355 443 587 601 788 793 847, 114, b c cb i lb lv s uv v vb vc,.maj_2.maj_5.maj_0.7_5.maj,24,14, 1040 199 224 235 250 280 290 355 443 587 601 788 793 847, b c cb i lb lv s uv v vb vc,5
2maj_5maj_5maj_2maj_10maj_2maj_10maj_,False,1,False,False,18,6, 43 572 83 834 891 979, 174, b c l p u v,.maj_5.maj_2.maj_10.maj_2.maj_10.maj_2.maj,18,6, 43 572 83 834 891 979, b c l p u v,7
2maj_7min9_3maj7_,False,1,False,False,13,1, 663, 232, c d i l,.maj_7.min9_3.maj7_2.maj,13,1, 663, c d i l,4
5maj_5maj_5maj_97_,False,1,False,False,14,4, 307 322 64 842, 22 46 142 143 162, c d i iv t tv v,.maj_5.maj_5.maj_9.7_5.maj_5.maj_5.maj_9.7_5.maj,6,2, 307 322, c d iv tv,9
5maj_5maj_5maj_97_,False,1,False,False,14,4, 307 322 64 842, 22 46 142 143 162, c d i iv t tv v,.maj_5.maj_9.7_5.maj_5.maj_5.maj_9.7_5.maj,1,1, 307, c d iv tv,8
5maj_5maj_5maj_97_,False,1,False,False,14,4, 307 322 64 842, 22 46 142 143 162, c d i iv t tv v,.maj_5.maj_5.maj_9.7_5.maj,7,3, 322 64 842, c d i iv t tv v,5
5maj_9min_8maj_9min_5sus4_,False,1,False,False,6,1, 309, 55 56 58 59 245 246 268 297, c d o,.maj_9.min_8.maj_9.min_5.sus4_5.maj_9.min_8.maj_9.min_5.sus4_5.maj_9.min,5,1, 309, c d o,12
5maj_9min_8maj_9min_5sus4_,False,1,False,False,6,1, 309, 55 56 58 59 245 246 268 297, c d o,.maj_9.min_5.sus4_5.maj_9.min_8.maj_9.min_5.sus4_5.maj_9.min,1,1, 309, c d o,10
2maj_7maj_3maj_,False,1,False,False,27,7, 1062 1089 290 414 699 841 932, 92 93 132 133 193 194, b bc c cl co d i ic l lc o od v vc,.maj_3.maj_2.maj_7.maj_3.maj_2.maj_7.maj_3.maj_2.maj_7.maj_3.maj,7,3, 1062 1089 932, b bc c cl co d l lc o,11
2maj_7maj_3maj_,False,1,False,False,27,7, 1062 1089 290 414 699 841 932, 92 93 132 133 193 194, b bc c cl co d i ic l lc o od v vc,.maj_2.maj_7.maj_3.maj_2.maj_7.maj_3.maj_2.maj,14,3, 414 699 841, b c d i l o od,8
2maj_7maj_3maj_,False,1,False,False,27,7, 1062 1089 290 414 699 841 932, 92 93 132 133 193 194, b bc c cl co d i ic l lc o od v vc,.maj_7.maj_3.maj_2.maj_7.maj_3.maj,6,3, 1062 290 932, b bc c cl co d i ic l lc o v vc,6
2maj_10maj_7maj_5maj_7maj_5maj_7maj_7maj_10maj_,False,1,False,False,14,3, 139 53 561, 65 154 203 213 229, c l v,.maj_7.maj_5.maj_7.maj_5.maj_7.maj_7.maj_10.maj_2.maj_10.maj_7.maj_5.maj_7.maj_5.maj_7.maj,9,2, 139 561, c l v,15
2maj_10maj_7maj_5maj_7maj_5maj_7maj_7maj_10maj_,False,1,False,False,14,3, 139 53 561, 65 154 203 213 229, c l v,.maj_7.maj_7.maj_10.maj_2.maj_10.maj_7.maj_5.maj_7.maj_5.maj_7.maj,1,1, 53, c l v,11
2maj_10maj_7maj_5maj_7maj_5maj_7maj_7maj_10maj_,False,1,False,False,14,3, 139 53 561, 65 154 203 213 229, c l v,.maj_10.maj_2.maj_10.maj_7.maj_5.maj_7.maj_5.maj_7.maj,4,1, 561, c l v,9
2maj_5maj_7maj_5maj_7maj_5maj_7maj_10maj_,False,1,False,False,20,6, 21 234 293 351 891 968, 112, c cu i l o v,.maj_2.maj_5.maj_7.maj_5.maj_7.maj_5.maj_7.maj,20,6, 21 234 293 351 891 968, c cu i l o v,8
5maj_7maj_10maj_7maj_7maj_,False,1,False,False,12,6, 218 259 39 53 690 71, 148, c i u v,.maj_5.maj_7.maj_10.maj_7.maj_7.maj_5.maj,12,6, 218 259 39 53 690 71, c i u v,7
0maj_77_5maj_0maj7_0maj6_,False,1,False,False,9,4, 102 1138 1208 822, 28, i l v,.7_5.maj_0.maj7_0.maj6_0.maj,9,4, 102 1138 1208 822, i l v,5
2min_5maj_7min_5maj_5maj_,False,1,False,False,21,6, 134 195 369 794 872 917, 121, c l p v,.maj_2.min_5.maj_7.min_5.maj,21,6, 134 195 369 794 872 917, c l p v,5
77_107_7maj_,False,1,False,False,17,6, 322 358 425 427 439 577, 42 187, c cd ct h l u v vt,.7_7.maj_7.7_10.7_7.maj,14,4, 322 358 439 577, c cd ct h l u,5
