Abstract Loop,Loop Length,Total Songs,Sorted Songs,Prog IDs,Prog Counts,Boundary?,Form Count,Forms
07_10maj7_7maj_7maj_,4,1, 705, 4,1,False,1,c
07_5maj_27_5maj_,4,13, 1006 1041 1046 1116 1194 235 288 346 429 565 731 748 875, 14,1,False,1,v
07_5maj_7maj_77_5maj_,5,9, 1006 1041 1046 1116 1194 288 565 748 875, 139,1,False,1,v
0maj6_0maj7_,2,4, 102 153 390 734, 166,1,False,1,v
0maj_0maj(9)_,2,2, 670 734, 115 16,2,False,1,v
0maj_0maj6_0maj7_0maj6_,4,4, 102 153 390 734, 117,1,False,1,v
0maj_0maj_0maj_5maj_2maj_5maj_,6,1, 448, 78,1,False,1,c
0maj_0maj_5maj_2maj_5maj_,5,1, 448, 30,1,False,1,c
0maj_0maj_5maj_2maj_5maj_0maj_0maj_5maj_2maj_5maj_,10,1, 448, 31,1,False,1,c
0maj_0maj_5maj_2maj_5maj_5maj_2maj_5maj_,8,1, 448, 76 83,2,False,1,c
0maj_0maj_5maj_2maj_5maj_7maj_5maj_,7,1, 448, 60,1,False,1,c
0maj_0sus4(b7|9)_,2,1, 461, 119 193,2,False,1,v
0maj_10maj_7maj_7maj_,4,1, 621, 116 147 148 158 159 163 164,7,False,1,v
0maj_5maj_2maj_5maj_,4,2, 385 467, 59 62 79 82,4,False,1,c
0maj_5maj_7maj_,3,8, 109 1212 245 25 429 457 748 788, 134 138 160 161,4,False,1,v
0maj_9min7_8maj7_7maj_,4,1, 390, 168,1,False,1,c
0min7_0min9_,2,2, 55 670, 192,1,False,1,t
0min7_2min_10maj_,3,1, 550, 118,1,False,1,v
1maj_4min_7min7_,3,1, 227, 182,1,False,1,t
21_21_81_,3,2, 352 913, 1 2 3,3,False,1,v
27_10maj7_7maj_7maj_10maj7_,5,1, 705, 167,1,False,1,c
27_10maj7_7maj_7maj_10maj_7maj_9min7_8maj7_,8,1, 705, 67,1,False,1,c
27_10maj7_7maj_7maj_2min7_8maj7_,6,1, 705, 191,1,False,1,c
27_10maj7_7maj_7maj_5maj_9min7_8maj7_,7,1, 705, 74,1,False,1,c
27_5maj_5maj_,3,14, 102 1042 1046 1138 1141 1154 1218 1245 167 463 472 500 726 914, 11 129 32,3,False,2,c,v
2maj_10maj_,2,12, 1051 1281 223 480 53 561 572 582 617 834 841 844, 124 149 17 18 23 33,6,False,3,b,c,v
2maj_10maj_7maj_5maj_,4,5, 1119 238 29 339 83, 111 112 120 121 131 132 142 27 63 80 91,11,False,2,c,v
2maj_2min7_8maj_,3,1, 352, 185 186 187 34 35 46 47 48,8,False,1,c
2maj_2min_8maj_,3,7, 1073 1279 155 281 334 599 898, 125 150 172 173 174 184 38 39 40 84 85 86,12,False,2,c,v
2maj_3maj_7maj_,3,4, 114 1246 370 567, 49,1,False,1,c
2maj_5maj_5maj_,3,34, 1044 1045 105 1104 1208 184 217 231 249 254 30 324 325 385 387 421 443 448 465 555 589 6 615 690 71 720 758 785 791 821 838 902 927 94, 122 126 130 133 37 41 42 51 53 54 61 75 81 87 88,15,False,2,c,v
2maj_5maj_7maj_10maj_,4,3, 150 81 821, 43 72 73 77 89,5,False,1,c
2maj_5maj_9min_8maj_,4,23, 1063 1094 112 119 1210 1228 1270 145 157 253 371 434 511 54 568 571 587 620 623 637 749 964 992, 103 110 123 128 171 180 183 20 36 52,10,False,3,c,i,v
2min7_5min7_5min7_,3,6, 1112 319 338 631 722 804, 190,1,False,1,c
2min_10maj_,2,7, 294 320 478 542 608 629 932, 175 176 177 44 45,5,False,1,c
2min_5maj_5maj_,3,6, 109 228 728 789 842 926, 179,1,False,1,c
