Abstract Loop,Loop Length,Total Songs,Sorted Songs,Prog IDs,Prog Counts,Boundary?,Form Count,Forms
07_0maj_,2,4, 382 461 841 943, 133,1,False,1,v
07_10maj7_7maj_7maj_,4,1, 705, 1,1,False,1,c
07_5maj_7maj_77_5maj_,5,13, 1006 1041 1046 1116 1194 288 472 565 678 748 788 822 875, 134 15 168,3,False,1,v
0maj_0maj6_0maj7_0maj6_,4,4, 102 153 390 734, 135,1,False,1,v
0maj_0sus_,2,36, 1012 1048 1066 1076 1116 1188 1234 1256 182 207 229 231 234 265 348 354 421 461 469 507 512 518 555 651 656 668 68 706 711 747 775 813 822 894 913 973, 110 118 122 136 137 221 223 224,8,False,5,c,l,p,u,v
0maj_0sus_0maj_7maj_5sus_,5,5, 469 507 518 813 894, 167,1,False,1,v
0maj_10maj_7maj_7sus_,4,3, 1085 512 803, 220,1,False,1,c
0maj_5maj_7maj_5maj_7maj_,5,10, 1113 1135 1142 1212 139 183 662 773 948 965, 102,1,False,1,v
0maj_7maj_5maj_0sus_,4,7, 1234 182 229 234 354 461 68, 121 161,2,False,2,p,v
0maj_7maj_5sus_,3,6, 100 1126 354 372 540 752, 82,1,False,1,c
1maj_4min_7min7_,3,1, 227, 199,1,False,1,t
27_10maj7_7maj_7maj_10maj7_,5,1, 705, 188,1,False,1,c
27_10maj7_7maj_7maj_10maj_7maj_9min7_8maj7_,8,1, 705, 95,1,False,1,c
27_10maj7_7maj_7maj_2min7_8maj7_,6,1, 705, 207,1,False,1,c
27_10maj7_7maj_7maj_5maj_9min7_8maj7_,7,1, 705, 23,1,False,1,c
27_5maj_5maj_,3,14, 102 1138 1141 1154 1218 1245 167 296 463 472 477 500 726 914, 13 162 75,3,False,2,c,v
2maj_10maj_,2,22, 1031 1051 1073 1109 1281 223 393 415 448 480 53 561 572 582 617 637 64 706 83 834 841 844, 125 126 138 139 140 17 18 19 20 24 25 33 34,13,False,3,b,c,v
2maj_10maj_7maj_5maj_,4,8, 1171 238 268 29 310 339 803 83, 141 166 28 35 81 85,6,False,2,c,v
2maj_10maj_7maj_5maj_7maj_5maj_7maj_5maj_,8,5, 139 215 29 561 995, 36,1,False,1,c
2maj_2min7_8maj_,3,2, 352 608, 205 206 212 41 42 55 56 57,8,False,2,c,l
2maj_2min_10maj_10maj_,4,4, 1171 1282 33 633, 40,1,False,1,c
2maj_2min_8maj_,3,19, 1051 1073 1279 155 16 281 33 334 352 44 465 478 531 572 599 842 898 913 991, 119 120 142 143 149 189 190 191 198 200 201 37 38 39 51 52 53,17,False,3,c,p,v
2maj_3maj_7maj_,3,4, 114 1246 370 567, 59 84,2,False,1,c
