progID,Prog Count,Prog Length,Lick,,,,,,,,,,,,,,,,,,,Lick String,H,Hashes,ALL Songs (inc. Dups),Total Songs (no Dups),Sorted Songs,Forms,Boundary Cases,Loop,Loop Length,# Repeats,Last Loop Chord,LoopAbs
1,20,4,C.1(b3|b7).0,E-.maj.0,B-.maj.2,C.min.3,,,,,,,,,,,,,,,,C.1(b3|b7).0_E-.maj.0_B-.maj.2_C.min.3_,1.1567796494470395,###,2,1,1169 ,c v ,NoBound,_C.1(b3|b7).0_E-.maj.0_B-.maj.2_C.min.3,4,1.0,2:min-->,01(b3|b7)_3maj_7maj_2min_
2,26,6,C.1.0,A-.1.0,B-.1.0,C.1.0,A-.1.0,B-.1.0,,,,,,,,,,,,,,C.1.0_A-.1.0_B-.1.0_C.1.0_A-.1.0_B-.1.0_,1.2389012566026305,###,3,2,352 913 ,i v ,NoBound,_C.1.0_A-.1.0_B-.1.0,3,2.0,2:1-->,21_21_81_
3,26,5,C.1.0,D.1.0,E.1.0,C.1.0,D.1.0,,,,,,,,,,,,,,,C.1.0_D.1.0_E.1.0_C.1.0_D.1.0_,1.2389012566026305,##,3,2,352 913 ,i v ,NoBound,_C.1.0_D.1.0_E.1.0,3,1.67,2:1-->,21_21_81_
4,28,4,C.1.0,F.1.2,C.1.0,F.1.2,,,,,,,,,,,,,,,,C.1.0_F.1.2_C.1.0_F.1.2_,1.2838868242312453,#,3,2,53 594 ,b c l ,NoBound,_C.1.0_F.1.2,2,2.0,5:1-->,51_71_
5,28,3,C.1.2,G.1.0,C.1.2,,,,,,,,,,,,,,,,,C.1.2_G.1.0_C.1.2_,1.2838868242312453,#,3,2,53 594 ,b c l ,NoBound,_C.1.2_G.1.0,2,1.5,7:1-->,51_71_
6,29,3,C.5(b7).0,D-.5.3,C.5(b7).0,,,,,,,,,,,,,,,,,C.5(b7).0_D-.5.3_C.5(b7).0_,1.2080393967554763,#,1,1,884 ,l u ,NoBound,_C.5(b7).0_D-.5.3,2,1.5,1:5-->,15_115(b7)_
7,24,5,C.5.0,B-.sus2.0,C.5.0,B-.sus2.0,C.5.0,,,,,,,,,,,,,,,C.5.0_B-.sus2.0_C.5.0_B-.sus2.0_C.5.0_,1.188721875540867,###,2,1,51 ,d o v ,NoBound,_C.5.0_B-.sus2.0,2,2.5,10:sus2-->,25_10sus2_
8,24,4,C.5.0,E-.maj.0,B-.maj.2,C.5.0,,,,,,,,,,,,,,,,C.5.0_E-.maj.0_B-.maj.2_C.5.0_,1.766150648454355,##,5,3,215 51 567 ,c i v ,NoBound,_C.5.0_E-.maj.0_B-.maj.2,3,1.33,7:maj-->,25_3maj_7maj_
9,39,8,C.7.0,B-.7.0,F.7.0,B-.7.0,F.7.0,C.7.0,B-.7.0,F.7.0,,,,,,,,,,,,C.7.0_B-.7.0_F.7.0_B-.7.0_F.7.0_C.7.0_B-.7.0_F.7.0_,1.1534506453958382,####,10,10,1125 115 1193 1247 214 289 314 383 672 792 ,c h l s v ,NoBound,_C.7.0_B-.7.0_F.7.0_B-.7.0_F.7.0,5,1.6,7:7-->,57_77_77_107_77_
10,25,13,C.7.0,B-.7.0,F.7.0,B-.7.0,F.7.0,C.7.0,B-.7.0,F.7.0,B-.7.0,F.7.0,C.7.0,B-.7.0,F.7.0,,,,,,,C.7.0_B-.7.0_F.7.0_B-.7.0_F.7.0_C.7.0_B-.7.0_F.7.0_B-.7.0_F.7.0_C.7.0_B-.7.0_F.7.0_,1.3834651896016472,####,8,8,1125 115 1193 214 289 383 672 792 ,c h l s v ,NoBound,_C.7.0_B-.7.0_F.7.0_B-.7.0_F.7.0,5,2.6,7:7-->,57_77_77_107_77_
11,91,5,C.7.0,F.7.0,C.7.0,F.7.0,C.7.0,,,,,,,,,,,,,,,C.7.0_F.7.0_C.7.0_F.7.0_C.7.0_,1.3794811329654695,#,15,15,1134 1149 115 1168 1193 289 377 391 455 510 79 853 879 890 894 ,b c cd cl d i iv l o s v vc vd ,(1134: cd) (391: vc; iv; vd) (879: cl) ,_C.7.0_F.7.0,2,2.5,5:7-->,57_77_
12,64,6,C.7.0,F.7.0,C.7.0,G.7.0,F.7.0,C.7.0,,,,,,,,,,,,,,C.7.0_F.7.0_C.7.0_G.7.0_F.7.0_C.7.0_,1.1022822747253707,#,13,13,1125 1134 115 1193 1247 214 289 314 383 425 510 672 792 ,c d h l s v vl ,(289: vl) ,_C.7.0_F.7.0_C.7.0_G.7.0_F.7.0,5,1.2,10:7-->,57_77_77_107_77_
13,35,11,C.7.0,F.7.0,C.7.0,G.7.0,F.7.0,C.7.0,F.7.0,C.7.0,G.7.0,F.7.0,C.7.0,,,,,,,,,C.7.0_F.7.0_C.7.0_G.7.0_F.7.0_C.7.0_F.7.0_C.7.0_G.7.0_F.7.0_C.7.0_,1.2332525240632943,####,10,10,1125 115 1193 1247 214 289 314 383 672 792 ,c h l s v ,NoBound,_C.7.0_F.7.0_C.7.0_G.7.0_F.7.0,5,2.2,10:7-->,57_77_77_107_77_
14,22,16,C.7.0,F.7.0,C.7.0,G.7.0,F.7.0,C.7.0,F.7.0,C.7.0,G.7.0,F.7.0,C.7.0,F.7.0,C.7.0,G.7.0,F.7.0,C.7.0,,,,C.7.0_F.7.0_C.7.0_G.7.0_F.7.0_C.7.0_F.7.0_C.7.0_G.7.0_F.7.0_C.7.0_F.7.0_C.7.0_G.7.0_F.7.0_C.7.0_,1.3315796225857794,####,8,8,1125 115 1193 214 289 383 672 792 ,c h l s v ,NoBound,_C.7.0_F.7.0_C.7.0_G.7.0_F.7.0,5,3.2,10:7-->,57_77_77_107_77_
