Abstract Loop,Loop Length,Total Songs,Sorted Songs,Prog IDs,Prog Counts,Boundary?,Form Count,Forms
0maj_0mct_,2,33, 1012 1042 1048 1066 1168 182 207 231 234 236 348 354 421 461 464 469 507 512 518 555 590 651 656 668 68 706 711 775 813 864 894 913 973, 121 128 141 142 219 221 223 224 225,9,False,4,c,p,u,v
0maj_0mct_0maj_7maj_5mct_,5,5, 469 507 518 813 894, 193,1,False,1,v
0maj_10maj_7maj_7mct_,4,3, 1085 512 803, 218,1,False,1,c
0maj_10min_2mct_,3,5, 325 326 445 476 651, 255,1,False,1,v
0maj_5maj_5maj_2maj_5maj_5maj_2maj_,7,12, 1040 1045 30 324 385 387 465 477 620 66 791 915, 163,1,False,1,c
0maj_5maj_5maj_2maj_5maj_5maj_2maj_5maj_5maj_2maj_,10,7, 1040 1045 324 385 477 66 791, 164,1,False,1,c
0maj_5maj_7maj_5maj_7maj_,5,13, 1113 1135 1142 1212 139 183 358 383 662 672 773 948 965, 96,1,False,1,v
0maj_5mct_0maj_7mct_,4,5, 1076 469 507 705 982, 226,1,False,1,v
0maj_7maj_5maj_0mct_,4,12, 1116 1234 182 229 234 354 461 588 656 68 822 950, 124 185,2,False,2,p,v
0maj_7maj_5maj_7maj_5maj_,5,7, 1006 1102 1160 1287 229 500 993, 184,1,False,1,c
0min_7maj_5maj_,3,8, 1048 109 1190 240 303 734 746 793, 186,1,False,1,v
1maj_2maj_5maj_4min_,4,5, 1177 12 231 758 785, 27,1,False,1,c
1maj_4min_7min_,3,3, 1173 227 281, 247,1,False,1,t
2maj_10maj_,2,17, 1051 1109 1234 1281 293 393 415 448 480 53 561 572 617 637 706 83 834, 133 134 144 145 146 2 3 4 5,9,False,2,b,v
2maj_10maj_7maj_5maj_,4,9, 1134 1171 238 268 29 310 339 803 83, 147 15 190 22 73 78,6,False,2,c,v
2maj_10maj_7maj_5maj_7maj_5maj_7maj_5maj_,8,6, 1134 139 215 29 561 995, 23,1,False,1,c
2maj_10maj_7maj_7maj_10maj_7maj_9min_8maj_,8,1, 705, 88,1,False,1,c
2maj_10maj_7maj_7maj_2min_8maj_,6,2, 705 992, 230,1,False,1,c
2maj_10maj_7maj_7maj_5maj_9min_8maj_,7,2, 705 992, 12,1,False,1,c
2maj_2min_10maj_10maj_,4,8, 184 227 478 51 524 629 633 889, 106 110,2,False,2,i,l
2maj_2min_8maj_,3,23, 1051 1073 1279 155 16 281 33 334 352 44 464 465 478 531 547 553 572 599 608 842 898 913 991, 105 109 122 123 148 154 155 231 232 233 24 245 246 248 249 25 26 37 38 39 40,21,False,5,c,i,l,p,v
2maj_3maj_7maj_,3,4, 114 1246 370 567, 44 76,2,False,1,c
2maj_5maj_2min_3maj_,4,8, 10 1218 1285 258 349 758 785 842, 191 43 75,3,False,2,c,v
