Abstract Loop,Loop Length,Total Songs,Sorted Songs,Prog IDs,Prog Counts,Boundary?,Form Count,Forms
0maj_0maj_,2,22, 1012 102 1024 1037 1043 1082 1171 12 153 202 245 348 390 448 461 465 655 670 689 734 790 920, 113 114 115 116 117 162 163 164 165 2,10,False,2,b,v
0maj_0maj_0maj_5maj_2maj_5maj_,6,1, 448, 71,1,False,1,c
0maj_0maj_5maj_2maj_5maj_,5,1, 448, 13,1,False,1,c
0maj_0maj_5maj_2maj_5maj_0maj_0maj_5maj_2maj_5maj_,10,1, 448, 14,1,False,1,c
0maj_0maj_5maj_2maj_5maj_5maj_2maj_5maj_,8,1, 448, 69 76,2,False,1,c
0maj_0maj_5maj_2maj_5maj_7maj_5maj_,7,1, 448, 53,1,False,1,c
0maj_0mct_,2,6, 1168 182 461 469 590 651, 118 189 192,3,False,1,v
0maj_10maj_7maj_7maj_,4,1, 621, 112 158 159 178 179 184 185,7,False,1,v
0maj_11min_1maj_,3,2, 481 741, 202,1,False,1,c
0maj_5maj_2maj_5maj_,4,2, 385 467, 52 55 72 75,4,False,1,c
0maj_5maj_7maj_,3,8, 109 1212 245 25 429 457 748 788, 142 148 180 181,4,False,1,v
0maj_5maj_7maj_5maj_7maj_,5,8, 1134 115 296 346 668 672 773 948, 155,1,False,1,c
0min_0min_,2,4, 183 216 55 670, 223,1,False,1,v
1maj_11min_10min_2min_,4,3, 1112 319 729, 203,1,False,1,c
1maj_2maj_2min_7min_,4,2, 281 587, 208,1,False,1,c
1maj_4min_7min_,3,3, 1173 227 978, 215 217,2,False,2,o,t
2maj_10maj_,2,17, 1051 1234 1281 1286 223 293 415 448 480 53 561 572 582 617 637 834 844, 1 109 123 124 15 160 161 166 3,9,False,3,b,c,v
2maj_10maj_7maj_5maj_,4,4, 238 29 339 83, 107 11 119 120 138 139 150 56 73 87,10,False,2,c,v
2maj_10maj_7maj_7maj_10maj_,5,1, 705, 22,1,False,1,c
2maj_10maj_7maj_7maj_10maj_7maj_9min_8maj_,8,1, 705, 60,1,False,1,c
2maj_10maj_7maj_7maj_2min_8maj_,6,1, 705, 209,1,False,1,c
2maj_10maj_7maj_7maj_5maj_9min_8maj_,7,1, 705, 66,1,False,1,c
2maj_2min_8maj_,3,14, 1051 1073 1279 155 281 334 352 464 478 531 553 599 898 991, 125 16 168 17 18 193 194 195 197 198 199 219 23 24 25 32 33 34 35 77 78 79,22,False,2,c,v
2maj_3maj_7maj_,3,4, 114 1246 370 567, 38,1,False,1,c
2maj_5maj_2min_3maj_,4,3, 1285 258 349, 212 37 86,3,False,1,c
2maj_5maj_5maj_,3,62, 101 1040 1041 1044 1045 105 1104 1138 1143 1154 1208 1218 1225 1239 1245 167 184 224 231 235 249 254 290 294 296 30 324 325 355 372 380 385 387 43 443 448 463 465 472 477 500 511 555 565 589 6 615 620 690 71 720 726 731 758 785 791 821 838 902 914 94 993, 121 126 133 137 140 141 19 20 26 27 28 40 41 44 45 46 47 54 68 74 80 81,22,False,2,c,v
2maj_5maj_7maj_10maj_,4,3, 150 81 821, 29 65 70 82,4,False,1,c
2maj_5maj_9min_8maj_,4,24, 1042 1046 1094 119 120 1228 1270 145 157 169 250 253 278 511 54 568 571 587 598 620 637 749 914 992, 106 122 136 196 21 210 218 4 43,9,False,2,c,v
2maj_7maj_3maj_,3,2, 625 688, 131 132 167 182,4,False,1,v
2mct_2mct_8mct_,3,2, 352 913, 188 190 191,3,False,1,v
2mct_2min_8maj_,3,2, 44 775, 186 30,2,False,1,c
2mct_5maj_5maj_,3,4, 1200 222 46 81, 100 187 31,3,False,2,c,l
2min_10maj_,2,8, 1073 307 481 528 542 608 62 629, 127 128 129 200 201 220 221 222 36,9,False,2,c,v
2min_5maj_5maj_,3,8, 1027 1055 222 410 465 479 767 984, 130 169,2,False,1,v
3maj_7maj_4min_10min_,4,1, 341, 39,1,False,1,c
3maj_9min_,2,3, 228 390 920, 211 5,2,False,1,c
4min_10maj_10maj_,3,4, 205 317 530 608, 216,1,False,1,p
5maj_5maj_7maj_7maj_,4,20, 1006 1024 1072 1102 1110 1141 1149 1228 149 160 169 191 23 545 559 591 638 678 890 905, 156 58 88,3,False,2,c,v
5maj_5maj_7maj_7maj_5maj_7maj_,6,7, 1116 1194 123 126 167 570 787, 134,1,False,1,v
5maj_5maj_9maj_5min_,4,3, 1188 691 789, 84,1,False,1,c
5maj_5maj_9min_5min_,4,8, 127 228 315 728 804 834 926 986, 205 213 214 6 7 85,6,False,1,c
