progID,Prog Count,Prog Length,Lick,,,,,,,,,,,,,,,,,,,Lick String,H,Hashes,ALL Songs (inc. Dups),Total Songs (no Dups),Sorted Songs,Forms,Boundary Cases,Loop,Loop Length,# Repeats,Last Loop Chord,LoopAbs
1,28,6,C.1,A-.1,B-.1,C.1,A-.1,B-.1,,,,,,,,,,,,,,C.1_A-.1_B-.1_C.1_A-.1_B-.1_,1.1981174211304033,##,4,3,1276 352 913 ,c i t v ,NoBound,_C.1_A-.1_B-.1,3,2.0,2:1-->,21_21_81_
2,21,12,C.1,D.1,A.1,C.1,D.1,A.1,C.1,D.1,A.1,C.1,D.1,A.1,,,,,,,,C.1_D.1_A.1_C.1_D.1_A.1_C.1_D.1_A.1_C.1_D.1_A.1_,0.9637459942073318,#########,1,1,1106 ,c cv v vc ,(1106: vc; cv) ,_C.1_D.1_A.1,3,4.0,7:1-->,21_71_31_
3,37,4,C.1,D.1,B-.1,C.1,,,,,,,,,,,,,,,,C.1_D.1_B-.1_C.1_,1.0369678910772295,#,4,3,1276 352 913 ,c i t v ,NoBound,_C.1_D.1_B-.1,3,1.33,8:1-->,21_21_81_
4,28,5,C.1,D.1,E.1,C.1,D.1,,,,,,,,,,,,,,,C.1_D.1_E.1_C.1_D.1_,1.1981174211304033,##,4,3,1276 352 913 ,c i t v ,NoBound,_C.1_D.1_E.1,3,1.67,2:1-->,21_21_81_
5,21,13,C.1,E-.1,F.1,C.1,E-.1,F.1,C.1,E-.1,F.1,C.1,E-.1,F.1,C.1,,,,,,,C.1_E-.1_F.1_C.1_E-.1_F.1_C.1_E-.1_F.1_C.1_E-.1_F.1_C.1_,0.9637459942073318,#########,1,1,1106 ,c cv v vc ,(1106: vc; cv) ,_C.1_E-.1_F.1,3,4.33,2:1-->,21_71_31_
6,44,6,C.1,F.1,C.1,F.1,C.1,F.1,,,,,,,,,,,,,,C.1_F.1_C.1_F.1_C.1_F.1_,1.618066437299976,#,7,6,105 1106 53 594 777 828 ,b c d i l o s u v ,NoBound,_C.1_F.1,2,3.0,5:1-->,51_71_
7,21,14,C.1,G.1,B-.1,C.1,G.1,B-.1,C.1,G.1,B-.1,C.1,G.1,B-.1,C.1,G.1,,,,,,C.1_G.1_B-.1_C.1_G.1_B-.1_C.1_G.1_B-.1_C.1_G.1_B-.1_C.1_G.1_,0.9637459942073318,##########,1,1,1106 ,c cv v vc ,(1106: vc; cv) ,_C.1_G.1_B-.1,3,4.67,3:1-->,21_71_31_
8,49,5,C.1,G.1,C.1,G.1,C.1,,,,,,,,,,,,,,,C.1_G.1_C.1_G.1_C.1_,1.5251441108669048,#,7,6,105 1106 53 594 777 828 ,b c d i l o s u v ,NoBound,_C.1_G.1,2,2.5,7:1-->,51_71_
9,25,7,C.1,G.1,C.1,G.1,C.1,G.1,C.1,,,,,,,,,,,,,C.1_G.1_C.1_G.1_C.1_G.1_C.1_,0.916118213778296,#,5,4,105 1106 53 828 ,b c i o s u v ,NoBound,_C.1_G.1,2,3.5,7:1-->,51_71_
10,20,4,C.1(b3|b7),E-.maj,B-.maj,C.min,,,,,,,,,,,,,,,,C.1(b3|b7)_E-.maj_B-.maj_C.min_,1.1567796494470395,###,2,1,1169 ,c v ,NoBound,_C.1(b3|b7)_E-.maj_B-.maj_C.min,4,1.0,2:min-->,01(b3|b7)_3maj_7maj_2min_
