progID,Prog Count,Prog Length,Lick,,,,,,,,,,,,,,,,,,,Lick String,H,Hashes,ALL Songs (inc. Dups),Total Songs (no Dups),Sorted Songs,Forms,Boundary Cases,Loop,Loop Length,# Repeats,Last Loop Chord,LoopAbs
1,29,4,C.7.c.0,G.7.c.0,C.7.c.0,G.7.c.0,,,,,,,,,,,,,,,,C.7.c.0_G.7.c.0_C.7.c.0_G.7.c.0_,1.8419289172795863,#,9,9,1134 1193 1247 377 625 672 79 879 894 ,c ,NoBound,_C.7.c.0_G.7.c.0,2,2.0,7:7-->,57_77_
2,21,3,C.7.c.2,G.min7.c.0,C.7.c.2,,,,,,,,,,,,,,,,,C.7.c.2_G.min7.c.0_C.7.c.2_,2.189238255803027,#,4,4,1127 490 691 834 ,c ,NoBound,_C.7.c.2_G.min7.c.0,2,1.5,7:min7-->,57_7min7_
3,21,6,C.7.v.0,B-.maj.v.2,F.maj.v.3,C.7.v.0,B-.maj.v.2,F.maj.v.3,,,,,,,,,,,,,,C.7.v.0_B-.maj.v.2_F.maj.v.3_C.7.v.0_B-.maj.v.2_F.maj.v.3_,1.6644977792004614,####,1,1,430 ,v ,NoBound,_C.7.v.0_B-.maj.v.2_F.maj.v.3,3,2.0,7:maj-->,77_10maj_7maj_
4,29,4,C.7.v.0,C.7.v.2,C.7.v.0,C.7.v.2,,,,,,,,,,,,,,,,C.7.v.0_C.7.v.2_C.7.v.0_C.7.v.2_,1.9020232567520021,#,5,4,1024 153 245 790 ,v ,NoBound,_C.7.v.0_C.7.v.2,2,2.0,0:7-->,07_07_
5,26,6,C.7.v.0,F.7.v.0,C.7.v.0,G.7.v.0,F.7.v.0,C.7.v.0,,,,,,,,,,,,,,C.7.v.0_F.7.v.0_C.7.v.0_G.7.v.0_F.7.v.0_C.7.v.0_,2.295465679180292,#,9,9,1125 1134 115 1193 214 314 425 510 792 ,v ,NoBound,_C.7.v.0_F.7.v.0_C.7.v.0_G.7.v.0_F.7.v.0,5,1.2,10:7-->,57_77_77_107_77_
6,23,5,C.7.v.0,F.maj.v.0,B-.maj.v.0,C.7.v.0,F.maj.v.0,,,,,,,,,,,,,,,C.7.v.0_F.maj.v.0_B-.maj.v.0_C.7.v.0_F.maj.v.0_,2.020800094781482,#,8,7,1138 1154 1245 167 463 500 914 ,v ,NoBound,_C.7.v.0_F.maj.v.0_B-.maj.v.0,3,1.67,5:maj-->,27_5maj_5maj_
7,20,6,C.7.v.0,F.maj.v.0,B-.maj.v.0,F.maj.v.0,C.7.v.0,F.maj.v.0,,,,,,,,,,,,,,C.7.v.0_F.maj.v.0_B-.maj.v.0_F.maj.v.0_C.7.v.0_F.maj.v.0_,2.3232196723355076,#,8,7,1116 167 472 570 787 875 993 ,v ,NoBound,_C.7.v.0_F.maj.v.0_B-.maj.v.0_F.maj.v.0,4,1.5,7:maj-->,5maj_5maj_7maj_77_
8,20,4,C.7.v.0,F.maj.v.0,B-.maj.v.2,F.maj.v.0,,,,,,,,,,,,,,,,C.7.v.0_F.maj.v.0_B-.maj.v.2_F.maj.v.0_,3.121928094887362,#,9,7,1041 1248 185 386 399 696 969 ,v ,NoBound,_C.7.v.0_F.maj.v.0_B-.maj.v.2_F.maj.v.0,4,1.0,7:maj-->,5maj_5maj_7maj_77_
9,44,4,C.7.v.0,F.maj.v.0,F.7.v.0,B-.maj.v.0,,,,,,,,,,,,,,,,C.7.v.0_F.maj.v.0_F.7.v.0_B-.maj.v.0_,2.5216787793454785,#,17,13,1006 1041 1046 1116 1194 235 288 346 429 565 731 748 875 ,v ,NoBound,_C.7.v.0_F.maj.v.0_F.7.v.0_B-.maj.v.0,4,1.0,5:maj-->,07_5maj_27_5maj_
10,28,5,C.7.v.0,G.7.v.0,D.7.v.0,C.7.v.0,G.7.v.0,,,,,,,,,,,,,,,C.7.v.0_G.7.v.0_D.7.v.0_C.7.v.0_G.7.v.0_,2.3868392966712704,#,9,9,1125 1134 115 1193 214 314 425 510 792 ,v ,NoBound,_C.7.v.0_G.7.v.0_D.7.v.0,3,1.67,7:7-->,77_77_107_
11,29,4,C.7.v.0,G.7.v.0,F.7.v.0,C.7.v.0,,,,,,,,,,,,,,,,C.7.v.0_G.7.v.0_F.7.v.0_C.7.v.0_,2.3455463800242042,#,9,9,1125 1134 115 1193 214 314 425 510 792 ,v ,NoBound,_C.7.v.0_G.7.v.0_F.7.v.0,3,1.33,10:7-->,77_77_107_
12,30,8,C.maj.c.0,A.min.c.0,F.maj.c.0,G.maj.c.0,C.maj.c.0,A.min.c.0,F.maj.c.0,G.maj.c.0,,,,,,,,,,,,C.maj.c.0_A.min.c.0_F.maj.c.0_G.maj.c.0_C.maj.c.0_A.min.c.0_F.maj.c.0_G.maj.c.0_,2.0857225506480184,##,8,3,145 54 568 ,c ,NoBound,_C.maj.c.0_A.min.c.0_F.maj.c.0_G.maj.c.0,4,2.0,2:maj-->,2maj_5maj_9min_8maj_
13,46,4,C.maj.c.0,A.min.c.2,C.maj.c.0,A.min.c.2,,,,,,,,,,,,,,,,C.maj.c.0_A.min.c.2_C.maj.c.0_A.min.c.2_,1.5023937690458924,#,4,4,1286 228 415 920 ,c ,NoBound,_C.maj.c.0_A.min.c.2,2,2.0,9:min-->,3maj_9min_
14,20,5,C.maj.c.0,A.min.c.2,D.min.c.0,G.maj.c.2,C.maj.c.0,,,,,,,,,,,,,,,C.maj.c.0_A.min.c.2_D.min.c.0_G.maj.c.2_C.maj.c.0_,1.5709505944546687,##,2,2,728 926 ,c ,NoBound,_C.maj.c.0_A.min.c.2_D.min.c.0_G.maj.c.2,4,1.25,5:maj-->,5maj_5maj_9min_5min_
15,36,7,C.maj.c.0,B-.maj.c.0,C.maj.c.0,B-.maj.c.0,C.maj.c.0,B-.maj.c.0,C.maj.c.0,,,,,,,,,,,,,C.maj.c.0_B-.maj.c.0_C.maj.c.0_B-.maj.c.0_C.maj.c.0_B-.maj.c.0_C.maj.c.0_,1.946538196183665,#,5,5,223 480 582 841 844 ,c ,NoBound,_C.maj.c.0_B-.maj.c.0,2,3.5,10:maj-->,2maj_10maj_
16,45,6,C.maj.c.0,B-.maj.c.0,F.maj.c.2,C.maj.c.0,B-.maj.c.0,F.maj.c.2,,,,,,,,,,,,,,C.maj.c.0_B-.maj.c.0_F.maj.c.2_C.maj.c.0_B-.maj.c.0_F.maj.c.2_,1.6898561935225624,##,6,5,1086 268 74 762 886 ,c ,NoBound,_C.maj.c.0_B-.maj.c.0_F.maj.c.2,3,2.0,7:maj-->,7maj_7maj_10maj_
17,27,9,C.maj.c.0,B-.maj.c.0,F.maj.c.2,C.maj.c.0,B-.maj.c.0,F.maj.c.2,C.maj.c.0,B-.maj.c.0,F.maj.c.2,,,,,,,,,,,C.maj.c.0_B-.maj.c.0_F.maj.c.2_C.maj.c.0_B-.maj.c.0_F.maj.c.2_C.maj.c.0_B-.maj.c.0_F.maj.c.2_,1.8290858982529976,##,4,4,1086 74 762 886 ,c ,NoBound,_C.maj.c.0_B-.maj.c.0_F.maj.c.2,3,3.0,7:maj-->,7maj_7maj_10maj_
18,24,5,C.maj.c.0,C.maj.c.1,F.maj.c.2,G.maj.c.0,C.maj.c.1,,,,,,,,,,,,,,,C.maj.c.0_C.maj.c.1_F.maj.c.2_G.maj.c.0_C.maj.c.1_,1.584962500721156,##,2,1,448 ,c ,NoBound,_C.maj.c.0_C.maj.c.1_F.maj.c.2_G.maj.c.0_C.maj.c.1,5,1.0,5:maj-->,0maj_0maj_5maj_2maj_5maj_
19,24,10,C.maj.c.0,C.maj.c.1,F.maj.c.2,G.maj.c.0,C.maj.c.2,C.maj.c.0,C.maj.c.1,F.maj.c.2,G.maj.c.0,C.maj.c.1,,,,,,,,,,C.maj.c.0_C.maj.c.1_F.maj.c.2_G.maj.c.0_C.maj.c.2_C.maj.c.0_C.maj.c.1_F.maj.c.2_G.maj.c.0_C.maj.c.1_,1.584962500721156,#######,2,1,448 ,c ,NoBound,_C.maj.c.0_C.maj.c.1_F.maj.c.2_G.maj.c.0_C.maj.c.2_C.maj.c.0_C.maj.c.1_F.maj.c.2_G.maj.c.0_C.maj.c.1,10,1.0,5:maj-->,0maj_0maj_5maj_2maj_5maj_0maj_0maj_5maj_2maj_5maj_
20,31,3,C.maj.c.0,D.7.c.2,G.maj.c.0,,,,,,,,,,,,,,,,,C.maj.c.0_D.7.c.2_G.maj.c.0_,1.9341024735229508,#,5,5,1042 1046 1218 463 472 ,c ,NoBound,_C.maj.c.0_D.7.c.2_G.maj.c.0,3,1.0,5:maj-->,27_5maj_5maj_
21,44,6,C.maj.c.0,D.maj.c.0,C.maj.c.0,D.maj.c.0,C.maj.c.0,D.maj.c.0,,,,,,,,,,,,,,C.maj.c.0_D.maj.c.0_C.maj.c.0_D.maj.c.0_C.maj.c.0_D.maj.c.0_,1.6962478545010897,#,5,5,223 480 582 841 844 ,c ,NoBound,_C.maj.c.0_D.maj.c.0,2,3.0,2:maj-->,2maj_10maj_
22,29,8,C.maj.c.0,D.maj.c.0,C.maj.c.0,D.maj.c.0,C.maj.c.0,D.maj.c.0,C.maj.c.0,D.maj.c.0,,,,,,,,,,,,C.maj.c.0_D.maj.c.0_C.maj.c.0_D.maj.c.0_C.maj.c.0_D.maj.c.0_C.maj.c.0_D.maj.c.0_,1.7394098952052532,#,4,4,223 480 582 844 ,c ,NoBound,_C.maj.c.0_D.maj.c.0,2,4.0,2:maj-->,2maj_10maj_
23,22,8,C.maj.c.0,D.maj.c.0,E.min7.c.0,C.maj.c.0,D.maj.c.0,E.min7.c.0,C.maj.c.0,D.maj.c.0,,,,,,,,,,,,C.maj.c.0_D.maj.c.0_E.min7.c.0_C.maj.c.0_D.maj.c.0_E.min7.c.0_C.maj.c.0_D.maj.c.0_,1.617189572592715,#####,2,1,352 ,c ,NoBound,_C.maj.c.0_D.maj.c.0_E.min7.c.0,3,2.67,2:min7-->,2maj_2min7_8maj_
